DATEID,ORDERDATE,MONTH_ID,YEAR_ID
1,2003-01-06,1,2003
2,2003-01-09,1,2003
3,2003-01-10,1,2003
4,2003-01-29,1,2003
5,2003-01-31,1,2003
6,2003-02-11,2,2003
7,2003-02-17,2,2003
8,2003-02-24,2,2003
9,2003-03-03,3,2003
10,2003-03-10,3,2003
11,2003-03-18,3,2003
12,2003-03-25,3,2003
13,2003-03-24,3,2003
14,2003-03-26,3,2003
15,2003-04-01,4,2003
16,2003-04-04,4,2003
17,2003-04-11,4,2003
18,2003-04-16,4,2003
19,2003-04-21,4,2003
20,2003-04-28,4,2003
21,2003-04-29,4,2003
22,2003-05-07,5,2003
23,2003-05-08,5,2003
24,2003-05-20,5,2003
25,2003-05-21,5,2003
26,2003-05-28,5,2003
27,2003-06-03,6,2003
28,2003-06-06,6,2003
29,2003-06-12,6,2003
30,2003-06-16,6,2003
31,2003-06-27,6,2003
32,2003-07-01,7,2003
33,2003-07-02,7,2003
34,2003-07-04,7,2003
35,2003-07-10,7,2003
36,2003-07-16,7,2003
37,2003-07-24,7,2003
38,2003-08-01,8,2003
39,2003-08-08,8,2003
40,2003-08-10,8,2003
41,2003-08-13,8,2003
42,2003-08-25,8,2003
43,2003-09-03,9,2003
44,2003-09-05,9,2003
45,2003-09-11,9,2003
46,2003-09-12,9,2003
47,2003-09-19,9,2003
48,2003-09-21,9,2003
49,2003-09-25,9,2003
50,2003-09-28,9,2003
51,2003-10-02,10,2003
52,2003-10-06,10,2003
53,2003-10-08,10,2003
54,2003-10-10,10,2003
55,2003-10-11,10,2003
56,2003-10-17,10,2003
57,2003-10-18,10,2003
58,2003-10-20,10,2003
59,2003-10-21,10,2003
60,2003-10-22,10,2003
61,2003-10-23,10,2003
62,2003-10-28,10,2003
63,2003-11-04,11,2003
64,2003-11-05,11,2003
65,2003-11-06,11,2003
66,2003-11-07,11,2003
67,2003-11-08,11,2003
68,2003-11-11,11,2003
69,2003-11-12,11,2003
70,2003-11-13,11,2003
71,2003-11-14,11,2003
72,2003-11-18,11,2003
73,2003-11-19,11,2003
74,2003-11-20,11,2003
75,2003-11-21,11,2003
76,2003-11-25,11,2003
77,2003-11-26,11,2003
78,2003-11-27,11,2003
79,2003-12-01,12,2003
80,2003-12-02,12,2003
81,2003-12-03,12,2003
82,2003-12-05,12,2003
83,2003-12-09,12,2003
84,2004-01-02,1,2004
85,2004-01-09,1,2004
86,2004-01-12,1,2004
87,2004-01-15,1,2004
88,2004-01-16,1,2004
89,2004-01-22,1,2004
90,2004-01-26,1,2004
91,2004-01-29,1,2004
92,2004-02-02,2,2004
93,2004-02-04,2,2004
94,2004-02-10,2,2004
95,2004-02-12,2,2004
96,2004-02-18,2,2004
97,2004-02-19,2,2004
98,2004-02-20,2,2004
99,2004-02-21,2,2004
100,2004-02-22,2,2004
101,2004-02-26,2,2004
102,2004-03-02,3,2004
103,2004-03-10,3,2004
104,2004-03-11,3,2004
105,2004-03-15,3,2004
106,2004-03-19,3,2004
107,2004-03-20,3,2004
108,2004-03-29,3,2004
109,2004-04-02,4,2004
110,2004-04-03,4,2004
111,2004-04-05,4,2004
112,2004-04-09,4,2004
113,2004-04-12,4,2004
114,2004-04-13,4,2004
115,2004-04-20,4,2004
116,2004-04-26,4,2004
117,2004-04-29,4,2004
118,2004-05-04,5,2004
119,2004-05-05,5,2004
120,2004-05-07,5,2004
121,2004-05-08,5,2004
122,2004-05-11,5,2004
123,2004-05-18,5,2004
124,2004-05-26,5,2004
125,2004-06-01,6,2004
126,2004-06-04,6,2004
127,2004-06-08,6,2004
128,2004-06-14,6,2004
129,2004-06-15,6,2004
130,2004-06-17,6,2004
131,2004-06-24,6,2004
132,2004-06-28,6,2004
133,2004-06-30,6,2004
134,2004-07-02,7,2004
135,2004-07-06,7,2004
136,2004-07-07,7,2004
137,2004-07-16,7,2004
138,2004-07-19,7,2004
139,2004-07-20,7,2004
140,2004-07-21,7,2004
141,2004-07-23,7,2004
142,2004-08-02,8,2004
143,2004-08-04,8,2004
144,2004-08-06,8,2004
145,2004-08-09,8,2004
146,2004-08-17,8,2004
147,2004-08-19,8,2004
148,2004-08-20,8,2004
149,2004-08-21,8,2004
150,2004-08-27,8,2004
151,2004-08-28,8,2004
152,2004-08-30,8,2004
153,2004-09-01,9,2004
154,2004-09-03,9,2004
155,2004-09-07,9,2004
156,2004-09-08,9,2004
157,2004-09-09,9,2004
158,2004-09-10,9,2004
159,2004-09-15,9,2004
160,2004-09-16,9,2004
161,2004-09-27,9,2004
162,2004-09-30,9,2004
163,2003-10-04,10,2003
164,2003-10-05,10,2003
165,2004-10-06,10,2004
166,2004-10-11,10,2004
167,2004-10-13,10,2004
168,2004-10-14,10,2004
169,2004-10-15,10,2004
170,2004-10-16,10,2004
171,2004-10-21,10,2004
172,2004-10-22,10,2004
173,2004-10-29,10,2004
174,2004-11-01,11,2004
175,2004-11-02,11,2004
176,2004-11-03,11,2004
177,2004-11-04,11,2004
178,2004-11-05,11,2004
179,2004-11-09,11,2004
180,2004-11-10,11,2004
181,2004-11-12,11,2004
182,2004-11-15,11,2004
183,2004-11-16,11,2004
184,2004-11-17,11,2004
185,2004-11-18,11,2004
186,2004-11-19,11,2004
187,2004-11-20,11,2004
188,2004-11-21,11,2004
189,2004-11-22,11,2004
190,2004-11-23,11,2004
191,2004-11-24,11,2004
192,2004-11-25,11,2004
193,2004-11-29,11,2004
194,2004-12-01,12,2004
195,2004-12-02,12,2004
196,2004-12-03,12,2004
197,2004-12-04,12,2004
198,2004-12-07,12,2004
199,2004-12-09,12,2004
200,2004-12-10,12,2004
201,2004-12-15,12,2004
202,2004-12-17,12,2004
203,2005-01-05,1,2005
204,2005-01-06,1,2005
205,2005-01-07,1,2005
206,2005-01-10,1,2005
207,2005-01-12,1,2005
208,2005-01-19,1,2005
209,2005-01-20,1,2005
210,2005-01-23,1,2005
211,2005-01-26,1,2005
212,2005-01-31,1,2005
213,2005-02-02,2,2005
214,2005-02-03,2,2005
215,2005-02-08,2,2005
216,2005-02-09,2,2005
217,2005-02-10,2,2005
218,2005-02-16,2,2005
219,2005-02-17,2,2005
220,2005-02-22,2,2005
221,2005-02-23,2,2005
222,2005-02-28,2,2005
223,2005-03-01,3,2005
224,2005-03-02,3,2005
225,2005-03-03,3,2005
226,2005-03-04,3,2005
227,2005-03-09,3,2005
228,2005-03-10,3,2005
229,2005-03-15,3,2005
230,2005-03-17,3,2005
231,2005-03-23,3,2005
232,2005-03-28,3,2005
233,2005-03-30,3,2005
234,2005-04-01,4,2005
235,2005-04-03,4,2005
236,2005-04-07,4,2005
237,2005-04-08,4,2005
238,2005-04-14,4,2005
239,2005-04-15,4,2005
240,2005-04-22,4,2005
241,2005-04-23,4,2005
242,2005-05-01,5,2005
243,2005-05-03,5,2005
244,2005-05-05,5,2005
245,2005-05-06,5,2005
246,2005-05-09,5,2005
247,2005-05-10,5,2005
248,2005-05-13,5,2005
249,2005-05-17,5,2005
250,2005-05-29,5,2005
251,2005-05-30,5,2005
252,2005-05-31,5,2005
